imagefilename,insta_location,brand,emotionorsense,adtext,keywords,has_top_bar,has_bottom_bar,non_adcontent_undertopbar,non_adcontent_abovebottombar
IMG_4882.PNG,story,nintendoamerica,fun;game,"pokemon pokopia available 3/5/26 only on nintendo switch 2, learn more",nintendo switch;gaming;pokemon;fun;cute;illustration,TRUE,TRUE,FALSE,FALSE
IMG_4883.PNG,story,palladium,style,tap to star shopping,shoes;style;sneakers;platform shoes;puffer shoes;productimages,TRUE,TRUE,FALSE,FALSE
IMG_4884.PNG,feed,lucyandyak,style,shop now,barrel pants;green;smallfashion;queerbrand,TRUE,TRUE,FALSE,FALSE
IMG_4885.PNG,feed,sparkpawsofficial,dog style,shop now,leash;rainbow;ombre;pink;spark paws;dog fashion,TRUE,TRUE,TRUE,FALSE
IMG_4886.PNG,feed,wearewildfang,style,shop now,formal pants;businesscasual;queer brand;pinstripes,TRUE,TRUE,TRUE,FALSE
IMG_4887.PNG,feed,vegaplantnutrition,strength,vega performance protein shop now,protein powder;nutrition;creamy vanilla; health,TRUE,TRUE,TRUE,FALSE
IMG_4888.PNG,feed,brooklinen,cozy,shop now,pillows;sheets;flannel;pattern;colorful;soft;productimage,TRUE,TRUE,TRUE,FALSE
IMG_4889.PNG,feed,dandylionworld,dog care,2026: the year of hydrated paws meet your daily paw relief duo,dog paws;productimage;foam;cosmetic;cleanliness,TRUE,TRUE,TRUE,FALSE
IMG_4890.PNG,feed,ruggable,home style,"ella slate blue rug by anthropologies the secret to a perfect room: cozy, durable, and",rug;homedecor;flowers;pretty;entrymat;productimage,TRUE,TRUE,FALSE,FALSE
IMG_4891.PNG,feed,wilderdog,dog care,love the stainless steel 32 oz stainless steel bowl,dog bowl;dog products;slowfeeder,TRUE,TRUE,FALSE,FALSE
IMG_4892.PNG,feed,bombas,cozy,"womens modern rib quarter socks, shop now",socks;purple;cozy;productimage,TRUE,TRUE,FALSE,FALSE
IMG_4893.PNG,feed,keltyusa,adventure;outside;gear,"window seta built for campsites, road trips, dogs, couches, and everything in between",camping;gear;container;organization;adventure,TRUE,TRUE,FALSE,TRUE
IMG_4894.PNG,feed,oatsovernightusa,nutrition,fruity cereal better flavors. Better mornings. A healthy,,TRUE,TRUE,TRUE,FALSE
IMG_4895.PNG,reel,loopearplugs,self-care,find your match in just 60 seconds,earplugs;health;noise;peace;comfort;style;productvideo;productgraph,TRUE,TRUE,FALSE,FALSE
IMG_4896.PNG,reel,seescandies,celebration,celebrate st. patrick's day with our festive st pat's favorites,candy;chocolate;treat;holiday;irish;stpaddys,TRUE,TRUE,FALSE,FALSE
IMG_4897.PNG,reel,onlyny,style,shop new arrivals from Only NY,style;model;tennis;nyc street style;cool;graphictee,TRUE,TRUE,FALSE,FALSE
IMG_4898.PNG,reel,smokonow,cute,perfect to accessorize your home and as,toys;cute;keychain;miffy;productimages;productgrid,TRUE,TRUE,FALSE,FALSE
IMG_4915.PNG,story,parksproject,style;outdoors,explore park habitats & get lost in the moss; tap to shop now,parks;outdoors;trendy;style;graphicdesign;patterns;productimages;productgrid,TRUE,TRUE,FALSE,FALSE
IMG_4916.PNG,story,nyseg.co,,"upgrading the grid, curious? Check it out",energy;newyorkstate media;electric grid,TRUE,TRUE,FALSE,FALSE
IMG_4917.PNG,feed,parksproject,style;outdoors,"meet park habitats, shop now",parks;outdoors;trendy;style;graphicdesign;patterns;productimages;productgrid; productcarosel,TRUE,TRUE,FALSE,FALSE
IMG_4918.PNG,reel,kalashi,money,"trade on anything with kalshi, what will karoline leavitt say in the next press briefing china",betting;gambling;worldevents,TRUE,TRUE,FALSE,FALSE
IMG_4919.PNG,reel,hbomax,,"from showstopping stories to blockbuster, the ultimate bundle sign up",disney+;streaming;hbomax,TRUE,TRUE,FALSE,FALSE
IMG_4920.PNG,reel,igloocoolers,gear;adventure,stock up and get free shipping with orders,coolers;productimages;productgrid;productcarosel;hydration,TRUE,TRUE,FALSE,FALSE
IMG_4921.PNG,reel,retrospekt,style,say hello to retro vibes! Our hello kitty,techgear;camera;stereo;polaroid;hellokitty;productimages,TRUE,TRUE,FALSE,FALSE
IMG_4922.PNG,reel,threadheads,style,"too spicy for your bland takes and your basic, shipping worldwide, kimchi",graphict;graphicdesign;cool;style;productimage,TRUE,TRUE,FALSE,FALSE
IMG_4923.PNG,reel,topjoblab,,editing in the living room while watching,desk;influencerad;videostill,TRUE,TRUE,FALSE,FALSE
IMG_4924.PNG,reel,cedarplanters,outdoor gear,"success is just a cedar raised bed away, step into a gardener's paradise! Shop now",gardening;planterbox;cedar;gardenbed;building;diy,TRUE,TRUE,FALSE,FALSE
IMG_4925.PNG,reel,lord_ofmaps,cozy;style,the greatest blanket in all the land,blanket;lifestyleimage;map design;illustration,TRUE,TRUE,FALSE,FALSE
IMG_4926.PNG,reel,yoniman.mp4,self-care,"introducin brainrot to the world, stop scrolling. Reclaim your focus and mental clarity",app;screenlimit,TRUE,TRUE,FALSE,FALSE
IMG_4927.PNG,reel,earthwiseseedco,outdoors,think you missed planting season,seeds;flowers;gardening;outdoors;lawncare,TRUE,TRUE,FALSE,FALSE
IMG_4928.PNG,reel,truegritttexturesupply,creativity,"introducing kolormarc,the ultimate digital markers",digitalbrushes;marker;texture;art;digitalart;coloring,TRUE,TRUE,FALSE,FALSE
IMG_4929.PNG,reel,birdcollective,style;outdoors,"chill in the air, warmth in your wear! Cozy up",graphicdesign;illustration;graphictee;birds,TRUE,TRUE,FALSE,FALSE
IMG_4930.PNG,reel,cooksillustrated,,"save 81% and receive a FREE gift when you, science is the secret to great cooking, a full year fo $10 + a free gift",magazine;cooking;recipe;pancakes,TRUE,TRUE,FALSE,FALSE
IMG_4931.PNG,feed,vego_garden,outdoors;gardening,shop now,gardening;planterbox;metal;raisedbed;vegetables,TRUE,TRUE,FALSE,FALSE
IMG_4932.PNG,feed,ruggable,home style,calloway brown multicolor rug,rug;pattern;productimage,TRUE,TRUE,FALSE,FALSE
IMG_4933.PNG,feed,wearewildfang,style,the essential long sleeve high waisted,jumpsuit;style;queer;queermodel;coverall,TRUE,TRUE,FALSE,FALSE
IMG_4934.PNG,reel,vego_garden,outdoors;gardening,don't be late it's time to get your garden,gardening;raisedbed;netting;compost;productgrid;productcarosel,TRUE,TRUE,FALSE,FALSE
IMG_4935.PNG,reel,kitchenaidusa,home style,meet the kitchaid color of the year,standmixer;baking;colorful;homedesign,TRUE,TRUE,FALSE,FALSE
IMG_4936.PNG,reel,threebythreeseatle,creativity,"stay inspired with bold color,smart design",notepad;colored pencils;notes;organization,TRUE,TRUE,FALSE,FALSE
IMG_4937.PNG,reel,vans,style,shop clothing: streetwear-inspired,tshirt;longsleeve;pants;streetstyle;productcarosel;productgrid;stripes;checkers,TRUE,TRUE,TRUE,FALSE
IMG_4938.PNG,reel,cognitivesurplus,home style,give your desk and home a nerdy upgrade,mug;graphicdesign;illustration;gems;bugs;pencontainer;washitape;accessories;productimages;productgrid;productcarosel,TRUE,TRUE,FALSE,FALSE
IMG_4939.PNG,reel,lucyandyak,style;comfort,"join the comfort movement, we promise you",jumpsuit;clothing;barrelpants;fleece;pattern;colorful;productgrid;queermodel;productcarosel,TRUE,TRUE,TRUE,FALSE
IMG_4940.PNG,reel,baboontothemoon,style,designed to last forever and that's a very,bags;drawstring;pink;productgrid;productcarosel;packingcubes,TRUE,TRUE,FALSE,FALSE
IMG_4941.PNG,reel,peacecollective,style,"made to rep your team on repeat-on the go, p/c fanship, new york sirens",pwhl;rugbyshirt;nysirens;womenshockey;fanshop;licensed,TRUE,TRUE,FALSE,FALSE
IMG_4942.PNG,reel,thecontainerstore,home style,shop the container store and discover,coatrack;laundrybasket;jar;hamper;productgrid;productimages;container;organization;homecare,TRUE,TRUE,FALSE,FALSE
IMG_4943.PNG,reel,ruggable,home style,"the secret to a perfect room: cozy,durable",rug;productgrid;productimages;rainbow;checkered;abstractpatterns;homestyle,TRUE,TRUE,FALSE,FALSE
IMG_4957.PNG,feed,momadesignstore,home style,now at moma design store,hay;outdoorfurniture;couch;seat;table,TRUE,TRUE,TRUE,FALSE
IMG_4958.PNG,feed,humankindswim,style,high neck swim top,swimtop;clothing;queerbrand;productimage,TRUE,TRUE,FALSE,FALSE
IMG_4959.PNG,feed,lucyandyak,style,shop now,clothing;patternpants;comfort,TRUE,TRUE,TRUE,FALSE
IMG_4960.PNG,feed,newyorkersforcleainair,,"what if climate policy could put money back in your, clean air initiative: keeping the lights on. Read the report",newyorkcleanair;air;environmentalpolicy;newyorkersforcleanair,TRUE,TRUE,TRUE,FALSE
IMG_4961.PNG,feed,calvinklein,comfort,shop now calvin klein,underwearset;modelimage,TRUE,TRUE,TRUE,FALSE
IMG_4962.PNG,feed,thecompanystore,home style,spectrum hand towel limited time only! 30% off cloud-like comforters,towel;linen;colorful,TRUE,TRUE,FALSE,TRUE
IMG_4963.PNG,feed,levoitlifestyle,self-care,levoit core 600s-p smart air purifier are you breathing clean aire at home? Experience,airpurifier;air;levoit,TRUE,TRUE,TRUE,FALSE
IMG_4964.PNG,feed,ruggable,home style,shop now,rug;pattern;productimage,TRUE,TRUE,FALSE,FALSE
IMG_4965.PNG,feed,wearewildfang,style,shop now,buttondownshirt;green;style;modelimage;queerbrand,TRUE,TRUE,TRUE,FALSE
IMG_4966.PNG,feed,brooklinen,comfort,shop now,robe;fluffy;gray;productimage,TRUE,TRUE,TRUE,FALSE
IMG_4967.PNG,story,blueland,cleanliness,"32% off bestselling plastic-free detergent tablet trio, shop now, get offer",dishwashertablet;ecoproduct;cleaner;plasticfree,TRUE,TRUE,FALSE,FALSE
IMG_4968.PNG,story,humankindswim,style,new arrivals are here shop now,queerbrand;swim;swimsuits;trunks;comfort;summer,TRUE,TRUE,FALSE,FALSE
IMG_4969.PNG,story,zimadental,cleanliness,never brush your retainer again enjoy a hygienically clean mouth appliance every single day. Show now,retainer;dentalhygeine;hygeine;mouthguard;productimages;colorful,TRUE,TRUE,FALSE,FALSE
IMG_4970.PNG,story,threebythreeseatle,home style,new! Metal kitchen organizing bins tap to star shopping,organization;silverware;flatware;color;kitchenorganization,TRUE,TRUE,FALSE,FALSE
IMG_4971.PNG,reel,wearewildfang,style;comfort,"new arrivals, and they're not sticking around, shop now",tanktop;modelimage,TRUE,TRUE,FALSE,FALSE
IMG_4973.PNG,story,misenkitchen,,free shears $24 valye when you spend $50 first time customers only tap to shop now,kitchen;scissors;productimage,TRUE,TRUE,FALSE,FALSE
IMG_4977.PNG,story,americanexpress,money,,money;finance;creditcard;amex;bills;account,TRUE,TRUE,FALSE,FALSE
IMG_4978.PNG,story,keltyusa,outdoor;adventure,made for together tired of the daily grind? Imagine quality time… start shopping today,outdoors;camping;tent;family;dog;adventure;vacation;relax;nature,TRUE,TRUE,FALSE,FALSE
IMG_4979.PNG,feed,humankindswim,style,"anywhere jogger with humankind's gender inclusive lifestyle, shop now",genderaffirming;queerbrand;pants;joggers;productimage,TRUE,TRUE,TRUE,FALSE
IMG_4980.PNG,feed,keltyusa,outdoor;adventure,"made for together, shop now",outdoors;camping;tent;woods;adventure;qualitytime;cozy;couple,TRUE,TRUE,TRUE,FALSE
IMG_4981.PNG,feed,woxer,comfort,you can put,underwear;boxer;woxer,TRUE,TRUE,TRUE,FALSE
IMG_4982.PNG,feed,ruggable,home style,shop now,rug;pattern;productimage,TRUE,TRUE,TRUE,FALSE
IMG_4983.PNG,story,humankindswim,style,shop,swimtop;clothing;queerbrand;productimage;productgrid;trunks;tanktop,TRUE,TRUE,FALSE,FALSE
IMG_4984.PNG,story,humankindswim,style,shop,swimtop;clothing;queerbrand;productimage;productgrid;trunks;tanktop,TRUE,TRUE,FALSE,FALSE
IMG_4985.PNG,story,keltyusa,adventure,"eclipse the world and retreat to your own cozy cocoon for the, tap to shop now",sleepingbag;camping;qualitytime;dog;couple;tent,TRUE,TRUE,FALSE,FALSE
IMG_4990.PNG,feed,palladium,style,"pampa lt+lo xplr wp+ olive night wether you're navigating city streets or, shop now 30% off",shoes;style;sneakers;productimage,TRUE,TRUE,FALSE,FALSE
IMG_4991.PNG,feed,vegaplantnutrition,strength,sugar-free pr-workout energizer consistency builds results. Fuel your routine with,plant-based;preworkoutpowder;caffeine;gymroutine,TRUE,TRUE,TRUE,TRUE
IMG_4992.PNG,feed,keltyusa,outdoor;adventure,"made for together, order now",camping;lifestyleimage;tent;blanket;dog;familytime;vacation;connection,TRUE,TRUE,TRUE,FALSE
IMG_4993.PNG,feed,comfrt,style,shop now,comfort;sweats;sweatpants;cozy;camo,TRUE,TRUE,TRUE,FALSE
IMG_4994.PNG,feed,brooklinen,comfort,"new! One fluff and done comforters, doesn't get easier than that, machine washable, no duvet cover required",bedding;comfort;productimage,TRUE,TRUE,TRUE,FALSE
IMG_4995.PNG,feed,ruggable,home style,shop now,rug;pattern;productimage,TRUE,TRUE,TRUE,FALSE
IMG_4996.PNG,feed,rooted.fare,,crunchy black sesame butter,food;sesame;spread;productimage,TRUE,TRUE,TRUE,FALSE
IMG_4997.PNG,feed,lucyandyak,style,shop now,tanktop;modelimage;pants,TRUE,TRUE,TRUE,FALSE
IMG_4998.PNG,feed,vegaplantnutrition,strength,shop now,plant-based;preworkoutpowder;caffeine;gymroutine,TRUE,TRUE,TRUE,FALSE
IMG_4999.PNG,reel,retrospekt,gear;creativity,,casette;nostalgia;tapes;techgear,TRUE,TRUE,FALSE,FALSE
IMG_5001.PNG,reel,pstr.studio,creativity,shop our curated selection of unique art,poster;print;homedecor;abstract;design,TRUE,TRUE,FALSE,FALSE
IMG_5002.PNG,reel,foreveryone.collective,style,a new world is growing.shop fashion made,tshirt;graphict;stickers;productgrid;productcarosel,TRUE,TRUE,TRUE,TRUE
IMG_5003.PNG,reel,whogivesacraptp,creativity;style,"an adventure on every toilet paper roll, shop now, can you find the loo? These limited edition",toiletpaper;graphicdesign;pattern;limitededition,TRUE,TRUE,TRUE,FALSE
